Date,Bitcoin Price,Bitcoin Open,Bitcoin High,Bitcoin Low,Gold Price,Gold Open,Gold High,Gold Low
17/03/2013,46.88571429,46.88571429,46.88571429,46.88571429,1588.14,1584.86,1590.72,1581.34
24/03/2013,64.52857143,64.52857143,64.52857143,64.52857143,1608.68,1610.56,1611.56,1607.36
31/03/2013,86.12857143,86.12857143,86.12857143,86.12857143,1600.35,1601.525,1604.575,1593.95
07/04/2013,133.7571429,133.7571429,133.7571429,133.7571429,1571.02,1576.44,1583.48,1561.46
14/04/2013,143.9142857,143.9142857,143.9142857,143.9142857,1556.36,1569.94,1576.68,1545.92
21/04/2013,102.4571429,102.4571429,102.4571429,102.4571429,1383.38,1395.24,1419.86,1354.76
28/04/2013,138.0142857,138.0142857,138.0142857,138.0142857,1433.68,1431.98,1446.56,1423.48
05/05/2013,118.9857143,118.9857143,118.9857143,118.9857143,1463.58,1466.82,1477.5,1455.64
12/05/2013,113.7142857,113.7142857,113.7142857,113.7142857,1459.32,1462.48,1470.16,1446.94
19/05/2013,118.7142857,118.7142857,118.7142857,118.7142857,1401.54,1414.58,1419.38,1393.92
26/05/2013,127.6571429,127.6571429,127.6571429,127.6571429,1381.7,1376.8,1392.3,1366.1
02/06/2013,128.6428571,128.6428571,128.6428571,128.6428571,1394.09,1392.51,1403.71,1385.55
09/06/2013,114.6142857,114.6142857,114.6142857,114.6142857,1401.18,1402.14,1415.9,1388.48
16/06/2013,103.9571429,103.9571429,103.9571429,103.9571429,1383.98,1381.74,1389.06,1373.3
23/06/2013,107.7714286,107.7714286,107.7714286,107.7714286,1340.1,1354,1358.96,1327.08
30/06/2013,99.75714286,99.75714286,99.75714286,99.75714286,1243.28,1255.62,1266.22,1231.84
07/07/2013,76.07142857,76.07142857,76.07142857,76.07142857,1242.31,1247.97,1259.15,1233.81
14/07/2013,84.97142857,84.97142857,84.97142857,84.97142857,1257.22,1253,1264.18,1249.32
21/07/2013,88.38571429,88.38571429,88.38571429,88.38571429,1286.08,1284.94,1292.48,1279.82
28/07/2013,88.81428571,88.81428571,88.81428571,88.81428571,1328.38,1327.8,1336.58,1320.88
04/08/2013,96.34285714,96.34285714,96.34285714,96.34285714,1317.28,1322.16,1328.5,1307.88
11/08/2013,95.22857143,95.22857143,95.22857143,95.22857143,1299.1,1299.14,1308.24,1288.24
18/08/2013,97.88571429,97.88571429,97.88571429,97.88571429,1344.64,1334.74,1353.26,1327.2
25/08/2013,108.0714286,108.0714286,108.0714286,108.0714286,1375.36,1369.06,1383.46,1363.14
01/09/2013,120.8142857,120.8142857,120.8142857,120.8142857,1408.32,1408.86,1415.86,1400.38
08/09/2013,121.1571429,121.1571429,121.1571429,121.1571429,1391.08,1390.18,1402.6,1377
15/09/2013,123.9857143,123.9857143,123.9857143,123.9857143,1350.72,1363.2,1363.22,1345.7
22/09/2013,124.2571429,124.2571429,124.2571429,124.2571429,1327.42,1328.78,1342.18,1321.34
29/09/2013,123.5857143,123.5857143,123.5857143,123.5857143,1328.16,1325.54,1334.02,1320.92
06/10/2013,118.4714286,118.4714286,118.4714286,118.4714286,1312.04,1318.1,1328.74,1298.8
13/10/2013,125.9142857,125.9142857,125.9142857,125.9142857,1304.1,1309.64,1315.36,1295.42
20/10/2013,146.3142857,146.3142857,146.3142857,146.3142857,1293.7,1290.98,1300.28,1283
27/10/2013,183.0714286,183.0714286,183.0714286,183.0714286,1338.94,1328.66,1339.36,1328.6
03/11/2013,197.9857143,197.9857143,197.9857143,197.9857143,1336.58,1342.3,1346.88,1334.78
10/11/2013,281.9,281.9,281.9,281.9,1306.64,1314.6,1317.66,1302.16
17/11/2013,400.4428571,388.0142857,407.2428571,379.3142857,1278.78,1281.16,1285.28,1276.04
24/11/2013,692.8714286,625.7142857,706.7714286,583.0428571,1258.2,1263.36,1264.62,1252.6
01/12/2013,966.4714286,932.6,979.4428571,913.6857143,1242.94,1238.28,1247.66,1235.48
08/12/2013,946.4142857,974.2571429,1050.042857,871.3428571,1231.14,1232.88,1242.22,1215.58
15/12/2013,922.3571429,918.4714286,950.1285714,889.3714286,1243.58,1242.26,1253.3,1233.64
22/12/2013,645.5571429,681.5428571,728.5857143,578.7428571,1222.58,1224.88,1234.1,1211.36
29/12/2013,693.65,697.7333333,711.2,681.3166667,1208.425,1206.375,1211.3,1203.4
05/01/2014,785.4428571,771.3857143,789.4428571,765.9857143,1214.76,1208.2,1219.92,1201.04
12/01/2014,860.5285714,868.2,884.8142857,839,1233.7,1232.08,1238.54,1225.26
19/01/2014,818.2857143,829.4285714,835.1,813.1142857,1245.18,1244.74,1248.86,1240.82
26/01/2014,808.3142857,809.5714286,816.6571429,784.9,1252.7,1249.46,1258.2,1245.34
02/02/2014,795.6333333,796.2833333,807.45,781.6166667,1251.82,1258.1,1261.44,1250.08
09/02/2014,757.9428571,767.2142857,774.2571429,748.3714286,1258.06,1254.22,1267.82,1250.7
16/02/2014,661.1285714,678.1285714,699.0571429,628.3571429,1295.92,1285.82,1297.94,1282.8
23/02/2014,611.9,614.8142857,630.4571429,594.3857143,1322.96,1319.12,1327.24,1314.22
02/03/2014,561.7428571,571.9857143,585.2714286,537.4285714,1332.5,1332.2,1338.9,1325.16
09/03/2014,645.7285714,636.0142857,659.4,622.9857143,1343.58,1341.72,1349.96,1332.48
16/03/2014,632.6571429,627.7714286,635.9714286,625.2428571,1361.88,1353.6,1365.74,1350.72
23/03/2014,590.3142857,600.3285714,608.6142857,587.7714286,1347.96,1355.06,1356.8,1343.82
30/03/2014,531.2714286,547.6571429,555.1428571,517.2857143,1302.9,1310.12,1311.56,1302.08
06/04/2014,455.9142857,459.5,472.2428571,440.7714286,1288.22,1287.18,1296.1,1281.4
13/04/2014,421.5714286,428.2428571,441.3,406.4285714,1310.2,1307.66,1315.66,1304.3
20/04/2014,500.7142857,483.3714286,507.2857143,474.9714286,1305.925,1311.4,1314.925,1299.775
27/04/2014,476.1714286,487.1285714,489.8285714,469.3428571,1288.8,1288.38,1296.2,1281.66
04/05/2014,444.8857143,445.7142857,451.8857143,438.0428571,1295.24,1292.46,1298.76,1284.68
11/05/2014,438.1285714,439.2142857,445.8571429,432.9714286,1296.12,1300.82,1302.88,1294.64
18/05/2014,440.9142857,439.1142857,441.5428571,435.7714286,1296.54,1293.24,1298.82,1290.42
25/05/2014,496.1285714,478.0142857,501.9714286,474.8571429,1292.4,1292.183333,1292.4,1291.616667
