Date,CloseBTC,CloseGold
2013-01-06,13.400000000000002,1671.125
2013-01-13,13.942857142857141,1659.8200000000002
2013-01-20,15.114285714285714,1682.4
2013-01-27,17.371428571428574,1676.25
2013-02-03,19.857142857142858,1664.6
2013-02-10,22.08571428571429,1672.36
2013-02-17,26.042857142857144,1636.92
2013-02-24,29.400000000000002,1582.9499999999998
2013-03-03,32.728571428571435,1589.2400000000002
2013-03-10,42.357142857142854,1574.5399999999997
2013-03-17,46.885714285714286,1588.14
2013-03-24,64.52857142857142,1608.6799999999998
2013-03-31,86.12857142857142,1600.35
2013-04-07,133.7571428571429,1571.02
2013-04-14,143.9142857142857,1556.3600000000001
2013-04-21,102.45714285714287,1383.3799999999999
2013-04-28,138.0142857142857,1433.6799999999998
2013-05-05,118.98571428571428,1463.5800000000002
