Date,Price,Open,High,Low,Vol,Change
"Oct 19, 2021",1770.50,1764.80,1786.00,1763.40,166.97K,0.27%
"Oct 18, 2021",1765.70,1767.50,1772.50,1760.30,152.74K,-0.15%
"Oct 15, 2021",1768.30,1797.30,1797.70,1765.10,202.63K,-1.65%
"Oct 14, 2021",1797.90,1793.60,1801.90,1787.60,164.65K,0.18%
"Oct 13, 2021",1794.70,1760.40,1797.40,1757.90,299.04K,2.01%
"Oct 12, 2021",1759.30,1753.60,1770.00,1750.50,168.11K,0.21%
"Oct 11, 2021",1755.70,1757.40,1761.10,1749.90,114.77K,-0.10%
"Oct 08, 2021",1757.40,1757.00,1782.40,1753.60,240.37K,-0.10%
"Oct 07, 2021",1759.20,1763.80,1767.70,1752.00,146.41K,-0.15%
"Oct 06, 2021",1761.80,1760.50,1765.90,1745.40,159.22K,0.05%
"Oct 05, 2021",1760.90,1770.80,1771.10,1748.60,151.42K,-0.38%
"Oct 04, 2021",1767.60,1762.60,1771.50,1747.70,166.18K,0.52%
"Oct 01, 2021",1758.40,1757.20,1765.20,1749.90,151.20K,0.08%
"Sep 30, 2021",1757.00,1726.00,1765.00,1721.80,246.37K,1.98%
"Sep 29, 2021",1722.90,1734.00,1746.00,1721.10,177.39K,-0.84%
"Sep 28, 2021",1737.50,1750.00,1754.30,1727.80,215.84K,-0.83%
"Sep 27, 2021",1752.00,1751.80,1760.90,1744.70,137.57K,0.02%
"Sep 24, 2021",1751.70,1743.70,1758.00,1740.20,151.55K,0.11%
"Sep 23, 2021",1749.80,1769.20,1777.10,1737.50,225.46K,-1.63%
"Sep 22, 2021",1778.80,1775.00,1788.40,1764.60,172.35K,0.03%
"Sep 21, 2021",1778.20,1765.50,1782.80,1758.30,141.62K,0.82%
"Sep 20, 2021",1763.80,1754.20,1768.40,1742.30,152.45K,0.71%
"Sep 17, 2021",1751.40,1754.60,1767.80,1747.10,183.25K,-0.30%
"Sep 16, 2021",1756.70,1795.50,1797.30,1745.50,255.27K,-2.12%
"Sep 15, 2021",1794.80,1806.60,1808.50,1791.70,139.30K,-0.68%
"Sep 14, 2021",1807.10,1794.80,1810.60,1780.60,197.95K,0.71%
"Sep 13, 2021",1794.40,1789.80,1800.20,1784.40,114.31K,0.13%
"Sep 10, 2021",1792.10,1796.20,1806.00,1788.20,136.25K,-0.44%
"Sep 09, 2021",1800.00,1790.90,1803.40,1785.10,154.13K,0.36%
"Sep 08, 2021",1793.50,1796.10,1804.40,1783.10,161.26K,-0.28%
"Sep 07, 2021",1798.50,1833.50,1833.50,1793.70,252.48K,-1.49%
"Sep 06, 2021",1825.65,1829.95,1830.65,1823.65,-,-0.24%
"Sep 05, 2021",1830.05,1832.20,1832.50,1829.65,-,-0.20%
"Sep 03, 2021",1833.70,1811.50,1836.90,1810.90,184.98K,1.23%
"Sep 02, 2021",1811.50,1816.20,1819.60,1806.50,113.03K,-0.25%
"Sep 01, 2021",1816.00,1816.70,1822.70,1810.60,140.12K,-0.12%
"Aug 31, 2021",1818.10,1812.20,1821.90,1803.40,170.39K,0.33%
"Aug 30, 2021",1812.20,1821.60,1826.50,1810.00,104.88K,-0.40%
"Aug 27, 2021",1819.50,1795.20,1821.90,1785.20,203.64K,1.35%
"Aug 26, 2021",1795.20,1793.00,1800.40,1781.30,134.53K,0.23%
"Aug 25, 2021",1791.00,1805.10,1805.30,1784.00,163.46K,-0.97%
"Aug 24, 2021",1808.50,1807.60,1812.20,1802.60,114.79K,0.12%
"Aug 23, 2021",1806.30,1781.20,1809.10,1778.00,156.32K,1.25%
"Aug 20, 2021",1784.00,1782.80,1791.00,1780.00,107.97K,0.05%
"Aug 19, 2021",1783.10,1789.50,1795.00,1774.60,151.25K,-0.07%
"Aug 18, 2021",1784.40,1787.80,1795.70,1778.80,132.73K,-0.19%
"Aug 17, 2021",1787.80,1789.10,1797.60,1782.10,144.82K,-0.11%
"Aug 16, 2021",1789.80,1780.90,1791.30,1772.00,137.70K,0.65%
"Aug 13, 2021",1778.20,1754.40,1781.90,1753.00,144.81K,1.51%
"Aug 12, 2021",1751.80,1752.90,1759.60,1742.60,137.12K,-0.09%
"Aug 11, 2021",1753.30,1730.40,1756.70,1724.60,185.44K,1.25%
"Aug 10, 2021",1731.70,1732.00,1739.40,1718.50,182.56K,0.30%
"Aug 09, 2021",1726.50,1765.00,1765.70,1677.90,289.54K,-2.08%
"Aug 06, 2021",1763.10,1806.70,1807.00,1759.50,323.15K,-2.53%
"Aug 05, 2021",1808.90,1814.90,1817.90,1799.70,169.84K,-0.31%
"Aug 04, 2021",1814.50,1813.70,1835.90,1808.30,244.68K,0.02%
"Aug 03, 2021",1814.10,1816.80,1818.20,1809.50,103.45K,-0.44%
"Aug 02, 2021",1822.20,1817.00,1823.20,1808.20,159.76K,0.28%
"Jul 30, 2021",1817.20,1832.50,1835.50,1813.10,157.14K,-1.01%
"Jul 29, 2021",1835.80,1811.50,1837.50,1810.90,212.07K,1.73%
"Jul 28, 2021",1804.60,1802.40,1813.90,1795.60,198.60K,0.03%
"Jul 27, 2021",1804.00,1801.50,1809.50,1796.90,77.69K,0.27%
"Jul 26, 2021",1799.20,1802.30,1812.00,1796.00,204.55K,-0.14%
"Jul 23, 2021",1801.80,1807.70,1810.70,1789.10,236.76K,-0.20%
"Jul 22, 2021",1805.40,1803.90,1808.40,1791.90,193.32K,0.11%
"Jul 21, 2021",1803.40,1810.60,1814.40,1794.30,218.64K,-0.44%
"Jul 20, 2021",1811.40,1813.50,1825.90,1805.20,221.14K,0.12%
"Jul 19, 2021",1809.20,1811.60,1818.00,1795.00,249.68K,-0.32%
"Jul 16, 2021",1815.00,1830.70,1832.70,1809.50,184.66K,-0.77%
"Jul 15, 2021",1829.00,1828.70,1835.00,1820.60,175.61K,0.22%
"Jul 14, 2021",1825.00,1808.30,1831.10,1804.90,229.88K,0.83%
"Jul 13, 2021",1809.90,1806.70,1818.00,1798.70,242.18K,0.22%
"Jul 12, 2021",1805.90,1808.50,1811.00,1791.00,201.42K,-0.26%
"Jul 09, 2021",1810.60,1803.20,1813.00,1796.60,185.58K,0.58%
"Jul 08, 2021",1800.20,1803.80,1819.50,1793.50,249.34K,-0.11%
"Jul 07, 2021",1802.10,1797.00,1810.20,1794.10,171.08K,0.44%
"Jul 06, 2021",1794.20,1787.50,1815.70,1784.70,276.60K,0.16%
"Jul 05, 2021",1791.30,1786.50,1794.65,1784.75,-,0.27%
"Jul 04, 2021",1786.40,1788.00,1788.00,1785.80,-,0.17%
"Jul 02, 2021",1783.30,1777.50,1795.90,1774.40,205.86K,0.37%
"Jul 01, 2021",1776.80,1770.80,1783.40,1765.90,171.44K,0.29%
"Jun 30, 2021",1771.60,1761.90,1774.70,1753.20,177.89K,0.45%
"Jun 29, 2021",1763.60,1778.80,1779.20,1750.10,239.91K,-0.96%
"Jun 28, 2021",1780.70,1782.00,1786.10,1770.40,160.79K,0.16%
"Jun 25, 2021",1777.80,1775.70,1791.00,1773.60,161.20K,0.06%
"Jun 24, 2021",1776.70,1778.20,1788.60,1772.70,152.23K,-0.38%
"Jun 23, 2021",1783.40,1779.10,1795.60,1773.10,179.27K,0.34%
"Jun 22, 2021",1777.40,1783.20,1790.10,1771.20,172.75K,-0.31%
"Jun 21, 2021",1782.90,1764.30,1786.90,1764.10,195.52K,0.79%
"Jun 18, 2021",1769.00,1773.90,1797.90,1761.20,264.61K,-0.33%
"Jun 17, 2021",1774.80,1812.30,1826.40,1767.90,385.89K,-4.65%
"Jun 16, 2021",1861.40,1861.00,1866.00,1804.40,234.10K,0.27%
"Jun 15, 2021",1856.40,1867.80,1870.90,1853.00,155.34K,-0.51%
"Jun 14, 2021",1865.90,1879.60,1879.70,1845.70,242.30K,-0.73%
"Jun 11, 2021",1879.60,1901.90,1906.20,1876.10,220.46K,-0.89%
"Jun 10, 2021",1896.40,1891.40,1903.00,1871.80,250.55K,0.05%
"Jun 09, 2021",1895.50,1894.40,1901.70,1889.30,147.33K,0.06%
"Jun 08, 2021",1894.40,1901.60,1906.90,1885.70,173.60K,-0.23%
"Jun 07, 2021",1898.80,1894.30,1902.90,1883.70,146.02K,0.36%
"Jun 04, 2021",1892.00,1872.70,1899.00,1855.60,228.83K,1.00%
"Jun 03, 2021",1873.30,1910.50,1912.30,1866.70,278.58K,-1.92%
"Jun 02, 2021",1909.90,1903.00,1911.80,1896.40,166.04K,0.26%
"Jun 01, 2021",1905.00,1906.80,1919.20,1894.50,290.65K,-0.32%
"May 31, 2021",1911.15,1906.80,1913.40,1904.85,-,0.23%
"May 30, 2021",1906.75,1907.60,1907.90,1906.10,-,0.08%
"May 28, 2021",1905.30,1899.80,1908.80,1884.30,198.14K,0.36%
"May 27, 2021",1898.50,1899.30,1906.50,1890.80,211.79K,-0.28%
"May 26, 2021",1903.80,1902.40,1915.60,1893.00,178.18K,0.17%
"May 25, 2021",1900.50,1883.40,1903.70,1875.40,176.60K,0.73%
"May 24, 2021",1886.70,1885.60,1890.00,1877.90,55.84K,0.42%
"May 21, 2021",1878.90,1880.40,1892.30,1872.50,53.04K,-0.27%
"May 20, 2021",1883.90,1872.20,1887.20,1866.20,44.91K,0.03%
"May 19, 2021",1883.40,1872.20,1893.20,1854.40,58.81K,0.71%
"May 18, 2021",1870.10,1869.10,1877.80,1865.60,49.55K,0.03%
"May 17, 2021",1869.60,1843.50,1871.10,1843.10,42.11K,1.61%
"May 14, 2021",1840.00,1829.30,1849.00,1821.30,24.14K,0.76%
"May 13, 2021",1826.10,1816.60,1830.90,1810.70,41.80K,0.07%
"May 12, 2021",1824.80,1840.20,1846.50,1815.00,55.16K,-0.72%
"May 11, 2021",1838.10,1837.60,1844.30,1819.80,71.63K,-0.09%
"May 10, 2021",1839.80,1836.10,1848.40,1832.80,64.97K,0.34%
"May 07, 2021",1833.50,1817.30,1846.50,1815.70,26.44K,0.86%
"May 06, 2021",1817.90,1789.00,1820.50,1784.10,23.09K,1.76%
"May 05, 2021",1786.50,1780.90,1790.20,1771.50,20.46K,0.47%
"May 04, 2021",1778.20,1795.10,1801.60,1771.60,9.94K,-0.88%
"May 03, 2021",1794.00,1770.40,1800.80,1768.50,7.92K,1.37%
"Apr 30, 2021",1769.80,1773.90,1775.00,1765.60,17.31K,-0.04%
"Apr 29, 2021",1770.50,1784.20,1791.50,1756.80,8.69K,-0.32%
"Apr 28, 2021",1776.10,1777.30,1784.70,1763.90,5.98K,-0.28%
"Apr 27, 2021",1781.00,1783.20,1787.80,1776.60,7.80K,-0.07%
"Apr 26, 2021",1782.30,1776.00,1784.90,1770.80,3.72K,0.13%
"Apr 23, 2021",1779.90,1786.30,1798.20,1771.70,5.12K,-0.23%
"Apr 22, 2021",1784.00,1797.00,1800.00,1779.30,2.13K,-0.62%
"Apr 21, 2021",1795.20,1780.60,1800.00,1779.00,3.26K,0.83%
"Apr 20, 2021",1780.40,1772.70,1782.60,1765.80,1.91K,0.43%
"Apr 19, 2021",1772.70,1780.10,1791.70,1768.60,1.87K,-0.53%
"Apr 16, 2021",1782.20,1766.20,1786.20,1763.70,2.57K,0.76%
"Apr 15, 2021",1768.80,1738.80,1772.40,1736.80,3.88K,1.76%
"Apr 14, 2021",1738.20,1748.40,1752.50,1734.70,2.79K,-0.65%
"Apr 13, 2021",1749.50,1734.70,1751.20,1725.50,4.27K,0.86%
"Apr 12, 2021",1734.60,1745.20,1748.00,1729.60,3.63K,-0.70%
"Apr 09, 2021",1746.80,1757.30,1759.00,1732.90,4.02K,-0.77%
"Apr 08, 2021",1760.30,1739.50,1761.20,1735.80,4.00K,0.96%
"Apr 07, 2021",1743.60,1746.60,1747.20,1734.00,1.72K,-0.08%
"Apr 06, 2021",1745.00,1731.80,1748.30,1730.70,3.87K,0.83%
"Apr 05, 2021",1730.70,1732.10,1735.90,1723.60,1.37K,0.02%
"Apr 01, 2021",1730.30,1711.40,1733.20,1708.80,2.20K,0.75%
"Mar 31, 2021",1717.50,1687.30,1718.10,1679.40,2.71K,1.75%
"Mar 30, 2021",1687.90,1714.80,1715.80,1680.60,2.72K,-1.67%
"Mar 29, 2021",1716.50,1736.30,1736.30,1707.50,4.05K,-1.15%
"Mar 26, 2021",1736.50,1729.90,1738.90,1723.20,3.39K,0.43%
"Mar 25, 2021",1729.10,1738.00,1748.80,1725.00,2.95K,-0.47%
"Mar 24, 2021",1737.20,1730.70,1741.50,1729.00,3.96K,0.45%
"Mar 23, 2021",1729.50,1743.10,1746.00,1727.20,3.55K,-0.74%
"Mar 22, 2021",1742.40,1745.00,1745.90,1730.70,2.56K,-0.19%
"Mar 19, 2021",1745.80,1739.50,1750.00,1731.70,2.72K,0.54%
"Mar 18, 2021",1736.50,1751.20,1758.00,1722.10,1.44K,0.31%
"Mar 17, 2021",1731.10,1732.00,1754.00,1727.50,1.69K,-0.24%
"Mar 16, 2021",1735.20,1733.70,1743.80,1731.00,1.39K,0.08%
"Mar 15, 2021",1733.80,1730.00,1737.30,1724.80,0.55K,0.55%
"Mar 12, 2021",1724.30,1726.30,1732.40,1701.60,1.14K,-0.17%
"Mar 11, 2021",1727.20,1729.50,1742.50,1722.50,4.24K,0.04%
"Mar 10, 2021",1726.50,1719.50,1728.70,1711.30,7.20K,0.27%
"Mar 09, 2021",1721.90,1687.30,1722.30,1687.30,4.59K,2.32%
"Mar 08, 2021",1682.90,1711.80,1715.70,1678.40,7.90K,-1.23%
"Mar 05, 2021",1703.80,1696.80,1709.70,1690.80,3.17K,-0.12%
"Mar 04, 2021",1705.90,1712.20,1725.60,1693.00,4.05K,-0.88%
"Mar 03, 2021",1721.00,1734.60,1734.60,1705.00,2.19K,-1.02%
"Mar 02, 2021",1738.80,1725.50,1742.60,1709.70,3.86K,0.61%
"Mar 01, 2021",1728.20,1738.10,1762.00,1723.00,1.83K,-0.33%
"Feb 26, 2021",1734.00,1773.60,1777.00,1720.80,5.07K,-2.63%
"Feb 25, 2021",1780.80,1805.50,1805.50,1769.90,1.97K,-1.22%
"Feb 24, 2021",1802.80,1810.50,1814.80,1787.90,0.90K,-0.43%
"Feb 23, 2021",1810.50,1816.80,1817.40,1799.70,0.93K,-0.15%
"Feb 22, 2021",1813.20,1791.00,1816.80,1786.40,0.78K,1.74%
"Feb 19, 2021",1782.20,1771.30,1794.40,1765.00,1.11K,0.13%
"Feb 18, 2021",1779.90,1784.60,1792.60,1773.20,1.48K,0.12%
"Feb 17, 2021",1777.70,1792.00,1798.00,1773.00,1.97K,-1.45%
"Feb 16, 2021",1803.90,1826.60,1831.00,1793.50,1.98K,-0.82%
"Feb 15, 2021",1818.75,1820.90,1827.00,1815.60,-,-0.13%
"Feb 14, 2021",1821.05,1822.45,1826.30,1820.15,-,-0.39%
"Feb 12, 2021",1828.10,1825.90,1835.00,1817.90,1.24K,-0.21%
"Feb 11, 2021",1832.00,1842.20,1850.80,1826.90,1.20K,-0.85%
"Feb 10, 2021",1847.70,1840.00,1860.60,1840.00,2.06K,0.29%
"Feb 09, 2021",1842.40,1836.70,1853.00,1836.70,1.36K,0.19%
"Feb 08, 2021",1838.90,1820.70,1844.00,1814.10,2.78K,1.16%
"Feb 05, 2021",1817.80,1801.80,1820.40,1797.80,1.47K,1.22%
"Feb 04, 2021",1795.90,1838.00,1838.00,1790.30,1.74K,-2.38%
"Feb 03, 2021",1839.60,1844.30,1847.20,1834.80,1.21K,0.11%
"Feb 02, 2021",1837.60,1866.70,1869.10,1835.20,1.19K,-1.60%
"Feb 01, 2021",1867.40,1864.60,1874.60,1858.50,3.44K,0.68%
"Jan 29, 2021",1854.70,1847.60,1881.80,1847.60,1.91K,0.48%
"Jan 28, 2021",1845.80,1846.20,1870.40,1841.50,0.81K,-0.43%
"Jan 27, 2021",1853.80,1858.60,1858.60,1843.00,1.26K,-0.32%
"Jan 26, 2021",1859.80,1868.60,1868.60,1857.00,1.71K,-0.22%
"Jan 25, 2021",1863.90,1864.40,1874.40,1855.00,1.66K,-0.05%
"Jan 22, 2021",1864.80,1871.30,1871.30,1845.00,1.12K,-0.49%
"Jan 21, 2021",1874.00,1876.90,1882.70,1869.20,1.81K,-0.04%
"Jan 20, 2021",1874.80,1853.10,1880.00,1840.00,1.02K,1.40%
"Jan 19, 2021",1849.00,1832.80,1850.70,1810.00,1.63K,0.68%
"Jan 18, 2021",1836.60,1809.65,1839.45,1809.65,-,1.48%
"Jan 17, 2021",1809.75,1826.80,1829.10,1803.60,-,-1.59%
"Jan 15, 2021",1839.00,1857.90,1863.40,1832.30,0.54K,-1.18%
"Jan 14, 2021",1861.00,1856.90,1866.20,1836.60,1.94K,-0.19%
"Jan 13, 2021",1864.60,1867.20,1871.00,1851.60,1.82K,0.57%
"Jan 12, 2021",1854.10,1860.20,1873.20,1846.00,1.40K,-0.37%
"Jan 11, 2021",1860.90,1853.40,1861.30,1828.20,1.37K,0.84%
"Jan 08, 2021",1845.40,1919.70,1920.60,1844.00,3.45K,-4.09%
"Jan 07, 2021",1924.00,1933.80,1938.00,1920.70,3.30K,0.24%
"Jan 06, 2021",1919.40,1965.60,1971.50,1914.40,3.81K,-2.33%
"Jan 05, 2021",1965.20,1955.00,1965.90,1953.70,2.22K,0.39%
"Jan 04, 2021",1957.60,1927.20,1959.20,1926.90,1.25K,2.94%
"Jan 01, 2021",1901.60,1901.60,1901.60,1901.60,-,-0.22%
"Dec 31, 2020",1905.80,1910.00,1915.20,1902.90,0.73K,0.09%
"Dec 30, 2020",1904.00,1896.50,1906.40,1891.20,0.66K,0.56%
"Dec 29, 2020",1893.40,1893.20,1900.30,1890.50,0.37K,0.14%
"Dec 28, 2020",1890.80,1900.80,1912.00,1885.80,0.54K,-0.12%
"Dec 24, 2020",1893.10,1888.90,1897.00,1886.90,0.18K,0.29%
"Dec 23, 2020",1887.60,1881.50,1892.30,1872.60,0.44K,0.40%
"Dec 22, 2020",1880.00,1891.10,1892.00,1875.60,0.69K,-0.64%
"Dec 21, 2020",1892.20,1916.40,1920.90,1872.00,0.56K,-0.32%
"Dec 18, 2020",1898.20,1893.60,1903.70,1892.10,0.57K,-0.07%
"Dec 17, 2020",1899.50,1876.10,1910.00,1876.10,0.35K,1.69%
"Dec 16, 2020",1867.90,1871.20,1876.00,1864.90,0.85K,0.16%
"Dec 15, 2020",1864.90,1850.20,1865.70,1850.20,0.50K,1.25%
"Dec 14, 2020",1841.90,1848.30,1849.10,1830.00,0.68K,-0.60%
"Dec 11, 2020",1853.10,1848.90,1859.50,1836.60,2.14K,0.34%
"Dec 10, 2020",1846.90,1849.60,1857.10,1840.80,2.72K,-0.04%
"Dec 09, 2020",1847.70,1883.10,1883.10,1844.00,1.66K,-1.94%
"Dec 08, 2020",1884.20,1877.00,1886.60,1874.50,1.91K,0.47%
"Dec 07, 2020",1875.30,1847.90,1880.40,1834.20,2.15K,1.42%
"Dec 04, 2020",1849.00,1850.00,1860.40,1842.80,0.91K,0.00%
"Dec 03, 2020",1849.00,1843.60,1854.40,1836.10,0.91K,0.58%
"Dec 02, 2020",1838.40,1820.60,1843.00,1820.60,1.15K,0.58%
"Dec 01, 2020",1827.80,1789.40,1829.70,1789.40,1.45K,2.10%
"Nov 30, 2020",1790.20,1798.80,1798.80,1776.60,0.89K,-0.41%
"Nov 27, 2020",1797.50,1824.00,1826.40,1787.00,0.55K,-0.53%
"Nov 26, 2020",1807.00,1806.25,1816.80,1804.20,-,-0.73%
"Nov 25, 2020",1820.20,1821.70,1829.90,1818.40,0.74K,-0.02%
"Nov 24, 2020",1820.60,1850.80,1851.20,1817.50,0.74K,-1.82%
"Nov 23, 2020",1854.30,1885.20,1889.60,1846.50,0.78K,-1.80%
"Nov 20, 2020",1888.20,1882.70,1894.00,1881.70,0.28K,0.58%
"Nov 19, 2020",1877.40,1873.30,1877.50,1870.00,0.17K,-0.64%
"Nov 18, 2020",1889.50,1892.50,1893.60,1882.00,0.58K,-0.69%
"Nov 17, 2020",1902.60,1906.20,1906.20,1903.50,0.42K,-0.18%
"Nov 16, 2020",1906.00,1903.10,1904.70,1903.00,0.22K,-0.02%
"Nov 13, 2020",1906.30,1894.90,1913.90,1894.90,0.45K,0.68%
"Nov 12, 2020",1893.50,1889.90,1901.60,1889.90,0.91K,0.66%
"Nov 11, 2020",1881.10,1897.10,1900.30,1874.00,0.40K,-0.83%
"Nov 10, 2020",1896.90,1893.80,1903.90,1888.10,0.37K,1.19%
"Nov 09, 2020",1874.50,1978.40,1978.40,1871.90,0.57K,-4.99%
"Nov 06, 2020",1973.00,1961.50,1977.70,1958.10,0.43K,0.29%
"Nov 05, 2020",1967.30,1948.40,1968.30,1948.40,0.16K,2.67%
"Nov 04, 2020",1916.10,1916.70,1928.50,1908.10,0.23K,-0.73%
"Nov 03, 2020",1930.10,1912.60,1928.00,1912.60,0.22K,0.92%
"Nov 02, 2020",1912.50,1896.80,1914.90,1896.80,0.12K,0.66%
"Oct 30, 2020",1899.90,1908.00,1908.00,1897.60,0.16K,0.62%
"Oct 29, 2020",1888.20,1886.20,1886.20,1884.00,0.62K,-0.62%
"Oct 28, 2020",1900.00,1928.90,1928.90,1897.30,0.08K,-1.70%
"Oct 27, 2020",1932.90,1921.40,1933.50,1921.40,0.06K,0.30%
"Oct 26, 2020",1927.10,1919.00,1926.10,1919.00,0.06K,0.04%
"Oct 23, 2020",1926.40,1926.30,1926.40,1924.60,0.04K,0.04%
"Oct 22, 2020",1925.70,1940.50,1940.50,1907.60,0.18K,-1.26%
"Oct 21, 2020",1950.30,1925.10,1948.60,1925.10,0.16K,0.72%
"Oct 20, 2020",1936.30,1922.90,1936.60,1921.90,0.11K,0.17%
"Oct 19, 2020",1933.00,1941.90,1941.90,1941.90,0.12K,0.24%
"Oct 16, 2020",1928.30,1934.40,1934.40,1927.50,0.06K,-0.13%
"Oct 15, 2020",1930.80,1923.20,1923.20,1919.20,0.18K,0.05%
"Oct 14, 2020",1929.80,1929.40,1929.40,1926.70,0.25K,0.68%
"Oct 13, 2020",1916.70,1937.50,1949.60,1915.80,0.23K,-1.74%
"Oct 12, 2020",1950.70,1953.50,1957.70,1948.70,0.22K,0.15%
"Oct 09, 2020",1947.80,1930.50,1956.20,1929.50,0.23K,1.62%
"Oct 08, 2020",1916.80,1902.80,1916.20,1899.00,0.21K,0.27%
"Oct 07, 2020",1911.60,1894.50,1911.40,1890.00,0.19K,-0.87%
"Oct 06, 2020",1928.30,1937.20,1942.20,1900.50,0.10K,-0.55%
"Oct 05, 2020",1939.00,1937.00,1937.00,1937.00,0.11K,0.64%
"Oct 02, 2020",1926.60,1929.60,1933.70,1921.30,0.12K,-0.45%
"Oct 01, 2020",1935.40,1927.60,1935.50,1921.20,0.18K,1.09%
"Sep 30, 2020",1914.60,1915.30,1918.90,1905.20,0.05K,-0.39%
"Sep 29, 2020",1922.10,1907.40,1921.20,1907.40,0.05K,1.11%
"Sep 28, 2020",1901.00,1883.70,1905.50,1872.00,0.35K,0.86%
"Sep 25, 2020",1884.80,1885.10,1885.10,1880.00,0.06K,-0.53%
"Sep 24, 2020",1894.90,1879.90,1892.60,1874.70,0.26K,0.42%
"Sep 23, 2020",1887.00,1924.60,1924.60,1876.30,0.57K,-2.10%
"Sep 22, 2020",1927.50,1937.90,1940.50,1925.50,0.09K,-0.13%
"Sep 21, 2020",1930.00,1978.20,1978.90,1913.50,0.19K,-2.62%
"Sep 18, 2020",1981.90,1974.20,1982.00,1973.60,0.08K,0.64%
"Sep 17, 2020",1969.30,1970.80,1974.40,1965.30,0.13K,-1.07%
"Sep 16, 2020",1990.70,1989.10,1997.90,1985.00,0.11K,0.22%
"Sep 15, 2020",1986.40,1986.10,1997.50,1981.00,0.04K,0.13%
"Sep 14, 2020",1983.90,1974.10,1987.80,1972.80,0.12K,0.84%
"Sep 11, 2020",1967.40,1971.30,1975.80,1966.50,0.10K,-0.80%
"Sep 10, 2020",1983.20,1971.10,1991.40,1969.40,0.21K,0.52%
"Sep 09, 2020",1972.90,1952.90,1973.60,1946.40,0.21K,0.57%
"Sep 08, 2020",1961.80,1957.50,1965.90,1938.80,0.88K,1.28%
"Sep 07, 2020",1937.10,1940.70,1947.40,1930.45,-,-0.18%
"Sep 06, 2020",1940.65,1941.90,1944.30,1937.65,-,-0.62%
"Sep 04, 2020",1952.80,1956.60,1959.50,1951.90,0.17K,-0.16%
"Sep 03, 2020",1956.00,1970.00,1972.80,1953.10,0.73K,-0.43%
"Sep 02, 2020",1964.50,1988.30,1990.90,1959.90,0.70K,-1.72%
"Sep 01, 2020",1998.80,2018.60,2018.60,1995.00,0.24K,-0.02%
"Aug 31, 2020",1999.10,1991.10,2002.30,1991.10,0.28K,0.30%
"Aug 28, 2020",1993.20,1956.50,1992.70,1951.30,0.31K,2.05%
"Aug 27, 2020",1953.10,1970.10,1970.30,1940.70,0.17K,-1.08%
"Aug 26, 2020",1974.40,1952.90,1952.90,1942.10,0.16K,1.50%
"Aug 25, 2020",1945.20,1965.20,1965.20,1944.00,0.02K,-0.87%
"Aug 24, 2020",1962.30,1962.50,1979.40,1955.90,0.11K,-0.37%
"Aug 21, 2020",1969.60,1982.30,1982.30,1959.90,0.12K,0.01%
"Aug 20, 2020",1969.50,1955.60,1976.00,1955.50,0.09K,-1.15%
"Aug 19, 2020",1992.50,2036.00,2036.00,1952.40,0.33K,-2.15%
"Aug 18, 2020",2036.20,2024.40,2041.10,2023.20,0.08K,0.72%
"Aug 17, 2020",2021.60,1981.70,2012.30,1971.60,0.11K,2.27%
"Aug 14, 2020",1976.80,1996.30,1996.90,1971.00,0.13K,-1.08%
