Date,PriceBTC,OpenBTC,HighBTC,LowBTC,PriceGold,OpenGold,HighGold,LowGold
2016-02-21,420.4,415.7714285714286,426.8142857142857,410.35714285714283,1245.2599999999998,1248.22,1248.44,1241.98
2016-02-28,430.9571428571429,431.88571428571424,436.2428571428572,421.9714285714286,1264.2000000000003,1264.06,1264.06,1264.06
2016-03-06,418.1285714285715,422.4857142857143,427.4142857142857,412.27142857142854,1288.7599999999998,1288.7599999999998,1288.7599999999998,1288.7599999999998
2016-03-13,413.6857142857143,412.54285714285714,417.75714285714287,408.30000000000007,1310.28,1306.1799999999998,1306.1799999999998,1306.1799999999998
2016-03-20,413.57142857142856,413.64285714285717,416.84285714285716,410.02857142857147,1294.3200000000002,1292.44,1292.72,1292.44
2016-03-27,417.5857142857143,415.2857142857143,419.32857142857137,412.7142857142857,1270.9199999999998,1275.9199999999998,1275.9199999999998,1270.06
2016-04-03,418.22857142857146,419.2714285714286,421.54285714285714,414.37142857142857,1276.7400000000002,1276.7400000000002,1276.7400000000002,1276.7400000000002
2016-04-10,421.07142857142856,420.9714285714286,422.75714285714287,417.2,1275.52,1275.52,1275.52,1275.52
2016-04-17,427.5857142857143,426.6285714285714,429.9428571428571,424.62857142857143,1290.9,1290.9,1290.9,1290.9
2016-04-24,446.9,442.0,449.0857142857143,439.1857142857142,1292.34,1292.34,1292.34,1292.34
2016-05-01,454.07142857142856,455.7428571428572,461.5,447.4,1307.9,1307.9,1307.9,1307.9
2016-05-08,453.0285714285714,451.77142857142854,456.5,447.08571428571435,1334.4599999999998,1334.4599999999998,1334.4599999999998,1334.4599999999998
2016-05-15,455.58571428571435,455.8714285714286,459.5571428571428,451.5285714285714,1316.8,1316.8,1316.8,1316.8
2016-05-22,444.9428571428572,447.7857142857143,450.2571428571428,441.65714285714284,1316.56,1316.56,1316.56,1316.56
2016-05-29,474.54285714285714,461.15714285714284,483.9428571428571,457.85714285714283,1281.2400000000002,1281.2400000000002,1281.2400000000002,1281.2400000000002
2016-06-05,550.9714285714286,544.8571428571429,563.342857142857,536.8285714285713,1261.6299999999999,1260.85,1261.83,1259.5600000000002
2016-06-12,598.0285714285714,584.1857142857142,604.5285714285716,576.4571428571428,1312.8600000000001,1312.8600000000001,1312.8600000000001,1312.8600000000001
2016-06-19,732.9142857142858,719.3142857142858,749.1571428571427,692.4714285714286,1339.28,1339.28,1339.28,1339.28
2016-06-26,657.5571428571428,671.9857142857143,693.6857142857142,631.5142857142857,1337.0800000000002,1337.0800000000002,1337.0800000000002,1337.0800000000002
2016-07-03,666.0,661.6714285714286,679.0714285714286,641.9,1374.5333333333335,1374.3666666666668,1374.875,1373.425
2016-07-10,661.3142857142857,662.7428571428571,673.4857142857143,639.4,1403.24,1401.84,1404.8700000000001,1401.44
2016-07-17,663.2428571428571,658.4428571428572,672.1857142857143,653.1999999999999,1394.44,1394.44,1394.44,1394.44
2016-07-24,663.4142857142857,666.4714285714286,670.8285714285714,655.3142857142857,1387.02,1387.02,1387.02,1387.02
2016-07-31,649.0333333333333,655.8000000000001,659.1833333333333,644.1333333333333,1394.08,1394.8799999999999,1394.8799999999999,1394.8799999999999
2016-08-07,604.6428571428571,607.3571428571429,609.0142857142856,602.9285714285714,1421.06,1421.06,1421.06,1421.06
2016-08-14,589.7714285714285,594.7571428571429,598.342857142857,586.4428571428572,1410.46,1410.32,1410.32,1410.32
2016-08-21,574.2428571428571,572.5571428571428,579.0142857142857,569.6857142857143,1413.4599999999998,1411.8,1411.8,1411.8
2016-08-28,578.5285714285714,579.5571428571428,583.0714285714286,575.3000000000001,1394.12,1393.9199999999998,1393.9199999999998,1393.9199999999998
2016-09-04,586.7714285714285,581.0142857142857,589.6999999999999,577.5142857142857,1368.4916666666668,1368.8166666666666,1368.9083333333335,1368.4750000000001
2016-09-11,620.657142857143,620.9857142857143,626.7714285714285,612.6142857142856,1388.5199999999998,1387.5699999999997,1388.73,1387.4099999999999
2016-09-18,611.7428571428571,611.6142857142858,615.5142857142856,609.0,1378.1,1379.6599999999999,1379.6599999999999,1377.9
2016-09-25,601.4999999999999,603.3142857142857,605.6000000000001,598.9571428571429,1386.52,1386.52,1386.52,1386.52
2016-10-02,608.1857142857143,606.9428571428572,611.0714285714286,604.3714285714286,1381.8399999999997,1384.4599999999998,1384.4599999999998,1384.4599999999998
2016-10-09,615.4857142857143,614.3857142857144,617.9142857142858,612.3571428571429,1323.8600000000001,1323.8600000000001,1323.8600000000001,1323.8600000000001
2016-10-16,637.5142857142856,633.6,641.5285714285716,631.7285714285714,1310.7600000000002,1310.7600000000002,1310.7600000000002,1310.7600000000002
2016-10-23,643.3714285714285,641.2428571428571,649.3142857142857,635.657142857143,1320.4199999999998,1320.4199999999998,1320.4199999999998,1320.4199999999998
2016-10-30,684.5857142857143,678.3714285714286,691.5428571428572,673.3714285714286,1328.1,1328.1,1328.1,1328.1
2016-11-06,713.7285714285715,714.0142857142856,727.5142857142857,696.6857142857143,1355.84,1355.84,1355.84,1355.84
2016-11-13,712.4571428571429,712.7142857142857,720.4714285714288,702.9,1324.32,1323.98,1323.98,1323.98
2016-11-20,734.5571428571428,731.4714285714284,744.6857142857143,719.7142857142857,1285.6600000000003,1285.6600000000003,1285.6600000000003,1285.6600000000003
2016-11-27,737.9,738.5428571428571,743.9999999999999,727.4714285714284,1248.55,1249.2800000000002,1249.5,1247.39
2016-12-04,752.2285714285715,746.0285714285714,756.0142857142856,741.9428571428571,1245.72,1245.72,1245.72,1245.72
2016-12-11,764.5142857142856,764.2428571428571,771.0142857142856,757.657142857143,1241.94,1240.94,1240.94,1240.94
2016-12-18,781.4714285714286,778.6142857142858,786.4428571428571,774.8714285714286,1229.2399999999998,1229.2399999999998,1229.2399999999998,1229.2399999999998
2016-12-25,855.7142857142857,840.3285714285714,862.8857142857142,828.0571428571429,1204.1666666666667,1204.1666666666667,1204.1666666666667,1204.1666666666667
2017-01-01,960.2714285714285,946.1428571428571,967.8857142857142,931.3142857142857,1211.23,1212.22,1212.4299999999998,1212.02
2017-01-08,988.9,1000.9857142857144,1038.2857142857142,927.1000000000001,1232.1299999999999,1229.72,1230.49,1229.52
2017-01-15,836.5857142857143,850.3142857142858,868.8000000000001,807.4714285714286,1264.0083333333332,1262.2,1263.4916666666668,1262.2
2017-01-22,895.1285714285714,880.342857142857,906.5571428571428,863.4142857142857,1274.1299999999999,1273.91,1274.95,1273.26
2017-01-29,907.6,908.9571428571428,920.3142857142857,900.342857142857,1283.74,1285.28,1285.28,1284.44
2017-02-05,989.4857142857143,976.3857142857144,997.0285714285714,963.3142857142858,1292.1,1291.9999999999998,1292.3999999999999,1291.9999999999998
2017-02-12,1013.8285714285714,1015.4142857142858,1034.9857142857143,986.1714285714286,1315.58,1317.1399999999999,1317.1399999999999,1317.1399999999999
2017-02-19,1033.5142857142857,1024.8857142857144,1041.3428571428572,1016.1857142857142,1300.5666666666668,1300.3500000000001,1300.8916666666667,1300.3500000000001
2017-02-26,1150.4857142857143,1132.9857142857143,1167.0285714285715,1104.2,1308.1599999999999,1307.97,1308.55,1307.22
2017-03-05,1244.8714285714286,1230.1142857142856,1257.357142857143,1212.8285714285714,1325.44,1325.44,1325.44,1325.44
2017-03-12,1194.7142857142858,1202.3285714285714,1254.0285714285715,1139.742857142857,1293.3200000000002,1295.3,1295.3,1295.2800000000002
2017-03-19,1137.7285714285715,1167.5428571428572,1193.1571428571428,1110.3285714285714,1296.3,1297.78,1297.78,1297.78
2017-03-26,1015.7714285714286,1022.6142857142859,1051.9571428571428,975.0000000000001,1327.3200000000002,1324.8200000000002,1324.8200000000002,1324.8200000000002
2017-04-02,1064.6714285714284,1044.9999999999998,1077.1857142857143,1028.6571428571428,1333.38,1338.92,1338.92,1338.38
2017-04-09,1175.4142857142856,1160.0285714285715,1187.6142857142856,1144.6714285714286,1333.24,1332.5000000000002,1332.5000000000002,1332.5000000000002
2017-04-16,1211.7714285714285,1212.5142857142857,1228.4428571428573,1195.1571428571428,1340.0700000000002,1340.0700000000002,1340.0700000000002,1340.0700000000002
2017-04-23,1300.3714285714286,1280.0857142857142,1309.2428571428572,1269.7,1365.98,1364.54,1368.1799999999998,1364.54
2017-04-30,1404.1857142857145,1393.1285714285714,1418.0857142857144,1371.3857142857144,1347.3200000000002,1347.3200000000002,1347.3200000000002,1347.3200000000002
2017-05-07,1582.8714285714286,1556.4571428571428,1627.8857142857141,1515.1571428571428,1322.3,1323.1,1323.1,1323.1
2017-05-14,1785.3428571428572,1755.642857142857,1827.9285714285713,1707.1,1301.48,1305.16,1305.1999999999998,1304.5800000000002
