areaCode,areaName,areaType,date,newCasesBySpecimenDate
K02000001,United Kingdom,overview,2021-01-11,57097
K02000001,United Kingdom,overview,2021-01-10,36327
K02000001,United Kingdom,overview,2021-01-09,39080
K02000001,United Kingdom,overview,2021-01-08,46978
K02000001,United Kingdom,overview,2021-01-07,51955
K02000001,United Kingdom,overview,2021-01-06,57375
K02000001,United Kingdom,overview,2021-01-05,65079
K02000001,United Kingdom,overview,2021-01-04,76140
K02000001,United Kingdom,overview,2021-01-03,55161
K02000001,United Kingdom,overview,2021-01-02,60426
K02000001,United Kingdom,overview,2021-01-01,31831
K02000001,United Kingdom,overview,2020-12-31,52778
K02000001,United Kingdom,overview,2020-12-30,70753
K02000001,United Kingdom,overview,2020-12-29,81477
K02000001,United Kingdom,overview,2020-12-28,45574
K02000001,United Kingdom,overview,2020-12-27,47692
K02000001,United Kingdom,overview,2020-12-26,40367
K02000001,United Kingdom,overview,2020-12-25,14169
K02000001,United Kingdom,overview,2020-12-24,31801
K02000001,United Kingdom,overview,2020-12-23,42163
K02000001,United Kingdom,overview,2020-12-22,45647
K02000001,United Kingdom,overview,2020-12-21,47355
K02000001,United Kingdom,overview,2020-12-20,32443
K02000001,United Kingdom,overview,2020-12-19,25140
K02000001,United Kingdom,overview,2020-12-18,35825
K02000001,United Kingdom,overview,2020-12-17,33894
K02000001,United Kingdom,overview,2020-12-16,34903
K02000001,United Kingdom,overview,2020-12-15,33838
K02000001,United Kingdom,overview,2020-12-14,34701
K02000001,United Kingdom,overview,2020-12-13,21981
K02000001,United Kingdom,overview,2020-12-12,19354
K02000001,United Kingdom,overview,2020-12-11,24053
K02000001,United Kingdom,overview,2020-12-10,22599
K02000001,United Kingdom,overview,2020-12-09,21600
K02000001,United Kingdom,overview,2020-12-08,20775
K02000001,United Kingdom,overview,2020-12-07,21321
K02000001,United Kingdom,overview,2020-12-06,13571
K02000001,United Kingdom,overview,2020-12-05,12732
K02000001,United Kingdom,overview,2020-12-04,15657
K02000001,United Kingdom,overview,2020-12-03,15622
K02000001,United Kingdom,overview,2020-12-02,16470
K02000001,United Kingdom,overview,2020-12-01,16447
K02000001,United Kingdom,overview,2020-11-30,18004
K02000001,United Kingdom,overview,2020-11-29,10681
K02000001,United Kingdom,overview,2020-11-28,10956
K02000001,United Kingdom,overview,2020-11-27,14362
K02000001,United Kingdom,overview,2020-11-26,14567
K02000001,United Kingdom,overview,2020-11-25,16609
K02000001,United Kingdom,overview,2020-11-24,16452
K02000001,United Kingdom,overview,2020-11-23,18767
K02000001,United Kingdom,overview,2020-11-22,11733
K02000001,United Kingdom,overview,2020-11-21,12348
K02000001,United Kingdom,overview,2020-11-20,16843
K02000001,United Kingdom,overview,2020-11-19,17746
K02000001,United Kingdom,overview,2020-11-18,20748
K02000001,United Kingdom,overview,2020-11-17,23165
K02000001,United Kingdom,overview,2020-11-16,26572
K02000001,United Kingdom,overview,2020-11-15,16018
